tc0011,(anonyme),"LE CLUB DES DAMES OU LE RETOUR DE DESCARTES, COMÉDIE",n.av.,1784,Comédie,moeurs françaises,Un acte,prose,ANONYME_CLUBDESDAMES
tc0012,Anonyme,"DIALOGUE ENTRE VOLTAIRE ET ROUSSEAU, COMÉDIE",n.av.,1778,Comédie,dialogue des morts,Un acte,mixte,ANONYME_DIALOGUEROUSSEAUVOLTAIRE
tc0013,Anonyme,"LA MATINÉE DU COMÉDIEN FRANÇAIS, COMÉDIE",n.av.,1785,Proverbe,moeurs françaises,Un acte,prose,ANONYME_MATINEECOMEDIENFRANCAIS
tc0014,Anonyme,"LE PORTIER DU PARNASSE, OU LES POËTES RÉFORMÉS, COMÉDIE",n.av.,1770,Comédie,moeurs françaises,Un acte,prose,ANONYME_PORTIERDUPARNASSE
tc0015,(anonyme),"LE PRIX D'UN MOMENT, PETITE PIÈCE EN UN ACTE ET EN PROSE, MELÉE D'AIRS.",n.av.,1772,Comédie,moeurs française,Un acte,mixte,ANONYME_PRIXDUNMOMENT
tc0016,(anonyme),OH ! VOILÀ BIEN LE DIABLE ! COMÉDIE,n.av.,1772,Comédie,moeurs françaises,Un acte,mixte,ANONYME_VOILABIENLEDIABLE
tc0017,"ANSEAUME, Louis","CENDRILLON, OPÉRA-COMIQUE.",n.av.,1759,Comédie,moeurs françaises,Un acte,mixte,ANSEAUME_CENDRILLON
tc0018,"ARCHAMBAULT, Louis-François",ÇA N'EN EST PAS OU TOUT CE QUI RELUIT N'EST PAS OR,n.av.,1779,Proverbe,moeurs françaises,Un acte,prose,ARCHAMBAULT_CENESTPAS
tc0019,"DORVIGNY, Louis François Archambault dit","LA COMÉDIE À L'IMPROMPTU OU LES DUPES, COMÉDIE.",n.av.,1780,Comédie,moeurs françaises,Un acte,mixte,ARCHAMBAULT_COMEDIEALIMPROMPTU
tc0020,"ARCHAMBAULT, Louis-François","LES ÉTRENNES DE L'AMITIÉ, DE L'AMOUR ET DE LA NATURE",n.av.,1783,Comédie,Fantaisie,Un acte,vers,ARCHAMBAULT_ETRENNES
tc0021,"ARCHAMBAULT, Louis-François","HURLUBRELU OU TOUT DE TRAVERS, COMÉDIE",n.av.,1794,Comédie,moeurs françaises,Un acte,prose,ARCHAMBAULT_HURLUBRELU
tc0022,"ARCHAMBAULT, Louis-François","JANOT OU LES BATTUS PAIENT L'AMENDE, COMÉDIE-PROVERBE",n.av.,1779,Proverbe,moeurs françaises,Un acte,prose,ARCHAMBAULT_JANOTBATTUS
tc0023,"ARCHAMBAULT, Louis-François","JANOT CHEZ LA DÉGRAISSEUR,",n.av.,1779,Proverbe,moeurs françaises,Un acte,prose,ARCHAMBAULT_JANOTDEGRAISSEUR
tc0024,"ARCHAMBAULT, Louis-François","JOCRISSE CHANGÉ DE CONDITION, COMÉDIE-FOLIE",n.av.,1799,Comédie,moeurs françaises,Deux actes,prose,ARCHAMBAULT_JOCRISSECHANGE
tc0025,"DORVIGNY, Louis François Archambault dit","ON FAIT CE QU'ON PEUT, NON PAS CE QU'ON VEUT, COMÉDIE PROVERBE.",n.av.,1785,Proverbe,moeurs françaises,Un acte,prose,ARCHAMBAULT_ONFAITCEQUONPEUT
tc0026,"ARMAND, Huguet Armand dit","LE CRI DE LA NATURE, COMÉDIE EN UN ACTE ET EN VERS.",n.av.,1771,Comédie,moeurs françaises,Un acte,vers,ARMAND_CRINATURE
tc0027,"ARTAUD, Jean-Baptiste","LE CENTENAIRE DE MOLIÈRE, COMÉDIE.",1773,1773,Comédie,moeurs françaises,Un acte,mixte,ARTAUD_CENTENAIREMOLIERE
tc0028,"AUDE, Joseph ","L'ÉCOLE TRAGIQUE, OU CADET ROUSSEL MAITRE DE DÉCLAMATION COMÉDIE",1718,1802,Comédie,moeurs françaises,Un acte,mixte,AUDE_ECOLETRAGIQUE
tc0029,"AURE, François d'","DIPNÉ, INFANTE D'IRLANDE. TRAGÉDIE.",n.av.,1668,Tragédie,histoire chrétienne,Cinq actes,vers,AURE_DIPNE
tc0030,"AURE, François d'","GENEVIÈVE OU L'INNOCENCE RECONNUE, TRAGÉDIE.",n.av.,1669,Tragédie,histoire chrétienne,Cinq actes,vers,AURE_GENEVIEVE69
tc0031,"AURE, François d'",GENEVIÈVE OU L'INNOCENCE RECONNUE.  TRAGÉDIE.,n.av.,1670,Tragédie,histoire chrétienne,Cinq actes,vers,AURE_GENEVIEVE70
tc0032,"BACULARD, François Thomas-Marie","LE COLIGNY, TRAGDIE",n.av.,1744,Tragédie,histoire française,Trois actes,prose,BACULARD_COLIGNI
tc0033,BAPTISTE et DU MOUTIER,MASCARADE DE LA FOIRE SAINT-GERMAIN,n.av.,1709,Mascarade,moeurs françaises,Un acte,vers,BAPTISTEDUMOUTIER_MASCARADEFOIRESAINTGERMAIN
tc0034,"BARANTE, Claude Ignace Brugière de","ARLEQUIN MISANTHROPE, COMÉDIE",n.av.,1697,Comédie,moeurs françaises,Trois actes,mixte,BARANTE_ARLEQUINMISANTHROPE
tc0035,BARANTE et DUFESNY,LES FÉES OU LES CONTES DE MA MÈRE L'OYE.,n.av.,1694,Comédie,moeurs françaises,Un acte,mixte,BARANTEDUFRESNY_FEES
tc0036,BARANTE et DUFESNY,PASQUIN ET MARFORIO. MÉDECINS DES MOEURS. COMÉDIE EN TROIS ACTES.,n.av.,1697,Comédie,moeurs françaises,Trois actes,mixte,BARANTEDUFRESNY_PASQUINMARFORIO
tc0037,"BARBIER, Marie-Anne","LE FAUCON, COMÉDIE",n.av.,1719,Comédie,moeurs françaises,Un acte,vers,BARBIER_FAUCON
tc0038,"BARRÉ, RADET.","CANDIDE MARIÉ, OU IL FAUT CULTIVER SON JARDIN. ",n.av.,1788,Vaudeville,Adaptation,Deux actes,mixte,BARRERADET_CANDIDE
tc0039,"BARRÉ, RADET, DESFONTAINES.","LE MARIAGE DE SCARRON, COMÉDIE.",n.av.,1797,Vaudeville,Adaptation,Deux actes,mixte,BARREREDETDESFONTAINES_MARIGEDESCARRON
tc0040,"BEAUMARCHAIS, Pierre Augustin Caron de",L'AUTRE TARTUFFE ou LA MÈRE COUPABLE,n.av.,1792,Drame,moeurs françaises,Cinq actes,prose,BEAUMARCHAIS_AUTRETARTUFFE
tc0041,"BEAUMARCHAIS, Pierre Augustin Caron de",LE BARBIER DE SÉVILLE ou LES PRÉCAUTIONS INUTILES,1775,1775,Comédie,moeurs espagnoles,Quatre actes,mixte,BEAUMARCHAIS_BARBIERDESEVILLE
tc0042,"BEAUNOIR, Alexandre-Louis-Bertrand Robineau dit de","L'AMOUR QUÊTEUR, COMÉDIE",n.av.,1785,Comédie,moeurs françaises,Deux actes,prose,BEAUNOIR_AMOURQUETEUR
tc0043,"BEAUNOIR, Alexandre-Louis-Bertrand Robineau dit de","LA CACOPHONIE, COMÉDIE",n.av.,1779,Comédie,moeurs françaises,Un acte,vers,BEAUNOIR_CACOPHONIE
tc0044,"BEAUNOIR, Alexandre-Louis-Bertrand Robineau dit de","LES LIBELLISTES, DRAME EN QUATRE ACTES.",n.av.,1807,Drame,moeurs autrichiennes,Quatre actes,prose,BEAUNOIR_LIBELLISTES
tc0045,"BEAUNOIR, Alexandre-Louis-Bertrand Robineau dit de","LE SCULPTEUR, COMÉDIE",n.av.,1784,Comédie,moeurs françaises,Deux actes,prose,BEAUNOIR_SCULPTEUR
tc0046,"BEAUNOIR, Alexandre-Louis-Bertrand Robineau dit de","VÉNUS PÉLERINE,, COMÉDIE",n.av.,1778,Comédie,moeurs françaises,Un acte,vers,BEAUNOIR_VENUS
tc0047,"BENSÉRADE, Isaac de","CLÉOPÂTRE, TRAGÉDIE",n.av.,1636,Tragédie,histoire romaine,Cinq actes,vers,BENSERADE_CLEOPATRE
tc0048,"BENSÉRADE, Isaac de","LA MORT D'ACHILLE et la DISPUTE DES ARMES, TRAGEDIE",n.av.,1636,Tragédie,mythe grec,Cinq actes,vers,BENSERADE_MORTACHILLE
tc0049,"BERGASSE, Nicolas ; CHASTENET de PUYSÉGUR, Armand-Marie-Jacques.","LA JOURNÉE DES DUPES, TRAGI-COMÉDIE",n.av.,1790,Tragi-comédie,histoire française,Quatre actes,prose,BERGASSE_JOURNEEDESDUPES
tc0050,"BERNARD, CaTherine","BRUTUS, TRAGÉDIE.",n.av.,1691,Comédie,moeurs françaises,Trois actes,vers,BERNARD_BRUTUS
tc0051,"BEYS, Charles de","CÉLINE ou LES FRÈRES RIVAUX, TRAGI-COMÉDIE",n.av.,1637,Tragi-comédie,histoire danoise,Cinq actes,vers,BEYS_CELINE
tc0052,"BIANCOLELLI, Pierre François","AGNÈS DE CHAILLOT, COMÉDIE.",n.av.,1723,Comédie,moeurs françaises,Un acte,mixte,BIANCOLELLI_AGNESDECHAILLOT
tc0053,"BIANCOLELLI, Pierre François","L'ÉCOLE GALANTE OU L'ART D'AIMER, COMÉDIE",1672,1711,Comédie,moeurs françaises,Trois actes,vers,BIANCOLELLI_ECOLEGALANTE
tc0054,"BIANCOLELLI Pierre-François (1680-1734), ROMAGNESI Jean-Antoine (1690-1742)","LA BONNE FEME, Parodie de l'opéra d'Hypermnestre",n.av.,1738,Parodie,mythe grec,Un acte,mixte,BIANCOLELLIROMAGNESI_BONNEFEMME
tc0055,"DOMINIQUE, BIANCOLELLI, RICCOBONI","LES ENFANTS TROUVÉS, OU LE SULTAN POLI PAR L'AMOUR, PARODIE DE LA TRAGÉDIE DE ZAÏRE, DE MONSIEUR DE VOLTAIRE",n.av.,1733,Parodie,moeurs orientales,Un acte,vers,BIANCOLLELI_ENFANTSTROUVES
tc0056,"BIANCOLELLI, Pierre François","OEDIPE TRAVESTI, COMÉDIE",n.av.,1711,Parodie,moeurs françaises,Un acte,vers,BIANCOLLELI_OEDIPETRAVESTI
tc0057,"BIANCOLELLI, Pierre François","ARLEQUIN GENTILHOMME PAR HASARD, COMÉDIE.",n.av.,1712,Comédie,moeurs françaises,Trois actes,mixte,BIANCOLLELLI_ARLEQUINGENTILHOMME
tc0058,"BIANCOLELLI Pierre-François, RICCOBONI A.-F., RICCOBONI L., ROMAGNESI J.-A.","ARCAGAMBIS, TRAGÉDIE",1672,1726,Tragédie,moeurs françaises,Un acte,vers,BIANCOLLELLIROMAGNESI_ARCAGAMBIS
tc0059,"BIDEAU DE MONTIGNY, Jean Charles François","SÉMIRAMIS, TRAGÉDIE.",n.av.,1749,Parodie,moeurs françaises,Cinq actes,vers,BIDEAUDEMONTIGNY_SEMIRAMIS
tc0060,"BIÈVRE, François George Maréchal, marquis de","LE SÉDUCTEUR, COMÉDIE.",n.av.,1783,Comédie,moeurs françaises,Cinq actes,vers,BIEVRE_SEDUCTEUR
tc0061,"BIEVRE, François George Maréchal, marquis de","VERCINGENTORIXE, TRAGÉDIE.",n.av.,1770,Tragédie,histoire française,Un acte,vers,BIEVRE_VERCINGENTORIXE
tc0062,"BLANC, Marc Antoine","LES DRUIDES, TRAGÉDIE.",n.av.,1783,Tragédie,histoire française,Cinq actes,vers,BLANC_DRUIDES
tc0063,"BOHAIRE-DUTHEIL, Nicolas de","JÉSUS-CHRIST, TRAGÉDIE",n.av.,1792,Tragédie,évangiles,Cinq actes,vers,BOHAIRE_JESUSCHRIST
tc0064,"BOHAIRE-DUTHEIL, Nicolas de","LE SIÈGE DE PARIS, TRAGÉDIE",n.av.,1780,Tragédie,histoire française,Cinq actes,vers,BOHAIRE_SIEGEDEPARIS
tc0065,"BOISROBERT, François Le Métel de ","L'AMANT RIDICULE, COMÉDIE REPRÉSENTÉE DANS LE BALLET DU ROI",n.av.,1655,Comédie,moeurs françaises,Un acte,vers,BOISROBERT_AMANTRIDICULE
tc0066,"BOISROBERT, François Le Métel de ","CASSANDRE COMTESSE DE BARCELONE, TRAGI-COMÉDIE",n.av.,1654,Tragi-comédie,moeurs françaises,Cinq actes,prose,BOISROBERT_CASSANDRE
tc0067,"BOISROBERT, François Le Métel de ","LES RIVAUX AMIS, TRAGI-COMÉDIE",n.av.,1668,Tragi-comédie,moeurs françaises,Cinq actes,prose,BOISROBERT_RIVAUXAMIS
tc0068,"BOISSY, Louis de","L'APOLOGIE DU SIÈCLE, OU MOMUS CORRIGÉ, COMÉDIE.",1732,1734,Comédie,moeurs françaises,Trois actes,vers,BOISSY_APOLOGIEDUSIECLE
tc0069,"BOISSY, Louis de","L'AUTEUR SUPERSTITIEUX, COMÉDIE.",1732,1732,Comédie,moeurs françaises,Un acte,vers,BOISSY_AUTEURSUPERSTICIEUX
tc0070,"BOISSY, Louis de","LE BALILLARD, COMÉDIE.",1735,1745,Comédie,moeurs françaises,Un acte,vers,BOISSY_BABILLARD
tc0071,"BOISSY, Louis de","LES DEHORS TROMPEURS ou L'HOMME DU JOUR, COMÉDIE .",1735,1740,Comédie,moeurs françaises,Cinq actes,vers,BOISSY_DEHORSTROMPEURS
tc0072,"BOISSY, Louis de","LE FRANÇAIS À LONDRES, COMÉDIE .",1727,1727,Comédie,moeurs françaises,Un acte,prose,BOISSY_FRANCAISALONDRES
tc0073,"BOISSY, Louis de","LA FRIVOLITÉ, COMÉDIE.",1732,1753,Comédie,moeurs françaises,Un acte,vers,BOISSY_FRIVOLITE
tc0074,"BOISSY, Louis de","L'HOMME DU JOUR, COMÉDIE",1732,1732,Comédie,moeurs françaises,Un acte,vers,BOISSY_HOMMEDUJOUR
tc0075,"BOISSY, Louis de","LE JE NE SAIS QUOI, COMÉDIE",1732,1731,Comédie,moeurs françaises,Un acte,vers,BOISSY_JENESAISQUOI
tc0076,"BOISSY, Louis de","LE MÉDECIN PAR OCCASION, COMÉDIE.",1735,1745,Comédie,moeurs françaises,Cinq actes,vers,BOISSY_MEDECINPAROCCASION
tc0077,"BOISSY, Louis de","LE PLAGIAIRE, COMÉDIE.",1732,1746,Comédie,moeurs françaises,Trois actes,vers,BOISSY_PLAGIAIRE
tc0078,"BOISSY, Louis de","LA VIE EST UN SONGE, COMÉDIE-HÉROÏQUE.",1732,1732,Comédie héroïque,moeurs polonaises,Cinq actes,vers,BOISSY_VIEESTUNSONGE
tc0079,"BOUCHER, Pierre","CHAMPAGNE LE COIFFEUR, COMÉDIE",1651,1662,Comédie,moeurs françaises,Un acte,vers,BOUCHER_CHAMPAGNELECOIFFEUR
tc0080,"BOUILLY, Jean-Nicolas","RENÉ-DESCARTES, TRAIT HISTORIQUE EN DEUX ACTES ET EN PROSE.",n.av.,1796,Trait historique,moeurs hollandaises,Deux actes,prose,BOUILLY_DESCARTES
tc0081,"BOURSAULT, Edme","LA COMÉDIE SANS TITRE, COMÉDIE.",n.av.,1694,Comédie,moeurs françaises,Un acte,vers,BOURSAULT_COMEDIESANSTITRE
tc0082,"BOURSAULT, Edme","LES DEUX FRÈRES GÉMEAUX OU LES MENTEURS QUI NE MENTENT POINT, COMÉDIE.",n.av.,1665,Comédie,moeurs françaises,Cinq actes,vers,BOURSAULT_DEUXFRERESGEMEAUX
tc0083,"BOURSAULT, Edme","ÉSOPE À LA COUR, COMÉDIE HÉROÏQUE",1701,1701,Comédie héroïque,mythe grec,"Cinq actes, un prologue",vers,BOURSAULT_ESOPE
tc0084,"BOURSAULT, Edme","LA FÊTE DE LA SEINE, Divertissement en Musique.",n.av.,1690,Ballet,mythe grec,Un acte,vers,BOURSAULT_FETEDELASEINE
tc0085,"BOURSAULT, Edme","GERMANICUS, TRAGÉDIE",1673,1694,Tragédie,histoire romaine,Cinq actes,vers,BOURSAULT_GERMANICUS
tc0086,"BOURSAULT, Edme","LE JALOUX ENDORMI, COMÉDIE.",n.av.,1662,Comédie,moeurs françaises,Un acte,vers,BOURSAULT_JALOUXENDORMI
tc0087,"BOURSAULT, Edme","MARIE STUARD, reine d'Écosse, TRAGÉDIE.",1691,1691,Tragédie,histoire écossaise,Cinq actes,vers,BOURSAULT_MARIESTUARD
tc0088,"BOURSAULT, Edme","LE MÉDECIN VOLANT, COMÉDIE.",n.av.,1666,Comédie,moeurs françaises,Un acte,vers,BOURSAULT_MEDECINVOLANT
tc0089,"BOURSAULT, Edme","LE MORT VIVANT, COMÉDIE.",n.av.,1662,Comédie,moeurs espagnoles,Trois actes,vers,BOURSAULT_MORTVIVANT
tc0090,"BOURSAULT, Edme","LES MOTS A LA MODE, COMÉDIE.",n.av.,1694,Comédie,moeurs françaises,Un acte,vers,BOURSAULT_MOTSALAMODE
tc0091,"BOURSAULT, Edme","LE PORTRAIT DU PEINTRE, OU LA CONTRE-CRITIQUE DE L'ÉCOLE DES FEMMES, COMÉDIE.",n.av.,1663,Comédie,moeurs françaises,Un acte,vers,BOURSAULT_PORTRAITDUPEINTRE
tc0092,"BOURSAULT, Edme","LA SATIRE DES SATIRES, COMÉDIE.",n.av.,1669,Comédie,moeurs françaises,Un acte,vers,BOURSAULT_SATIREDESSATIRES
tc0093,"BOYER, Claude","AGAMEMNON, TRAGÉDIE.",1648,1680,Tragédie,mythe grec,Cinq actes,vers,BOYER_AGAMEMNON
tc0094,"BOYER, Claude","LES AMOURS DE JUPITER ET DE SÉMÉLÉ,  TRAGÉDIE",1666,1666,Tragédie,mythe grec,"Cinq actes, un prologue",vers,BOYER_AMOURSJUPITERSEMELE
tc0095,"BOYER, Claude",ARISTODÈME,1648,1648,Tragédie,histoire grecque,Cinq actes,vers,BOYER_ARISTODEME
tc0096,"BOYER, Claude","ARTAXERCE, TRAGÉDIE",n.av.,1683,Tragédie,histoire perse,Cinq actes,vers,BOYER_ARTAXERCE
tc0097,"BOYER, Claude","FÉDÉRIC, TRAGI-COMÉDIE",n.av.,1660,Tragi-comédie,moeurs italiennes,Cinq actes,vers,BOYER_FEDERIC
tc0098,"BOYER, Claude","JUDITH, TRAGÉDIE",n.av.,1695,Tragédie,bible,Cinq actes,vers,BOYER_JUDITH
tc0099,"BOYER, Claude","LISIMÈNE OU LA JEUNE BERGÈRE, PASTORALE",n.av.,1672,Pastorale,pastorale,Cinq actes,vers,BOYER_LISIMENE
tc0100,"BOYER, CLaude","LA MORT DES ENFANTS DE BRUTE, TRAGÉDIE.",1648,1648,Tragédie,histoire romaine,Cinq actes,vers,BOYER_MORTENFANTSBRUTE
tc0101,"BOYER, Claude",OROPASTE OU LE FAUX TONAXARE,1663,1663,Tragédie,histoire orientale,Cinq actes,vers,BOYER_OROPASTE
tc0102,"BOYER, Claude",LA PORCIE ROMAINE,1646,1646,Tragédie,histoire romaine,Cinq actes,vers,BOYER_PORCIEROMAINE
tc0103,"BOYER, Claude","PORUS OU LA GÉNÉROSITÉ D'ALEXANDRE, TRAGÉDIE.",n.av.,1648,Tragédie,bible,Cinq actes,vers,BOYER_PORUS
tc0104,"BOYER, Claude","TYRIDATE, TRAGÉDIE",n.av.,1649,Tragédie,histoire romaine,Cinq actes,vers,BOYER_TIRIDATE
tc0105,"BOYER, Abel","CATON, TRAGÉDIE.",1646,1713,Tragédie,histoire romaine,Cinq actes,prose,BOYERA_CATON
tc0106,"BRÉCOURT, Guillaume MARCOUREAU de",L'OMBRE DE MOLIÈRE,n.av.,1674,Comédie,moeurs françaises,Un acte,prose,BRECOURT_OMBREDEMOLIERE
tc0107,"BROSSE, Abraham",L'AVEUGLE CLAIRVOYANT. COMÉDIE,n.av.,1650,Comédie,moeurs françaises,Cinq actes,vers,BROSSE_AVEUGLECLAIRVOYANT
tc0108,BRUEYS et PALAPRAT,"L'AVOCAT PATELIN, COMÉDIE EN TROIS ACTES ET EN PROSE.",n.av.,1706,Comédie,moeurs françaises,Trois actes,prose,BRUEYSPALAPRAT_AVOCATPATELIN
tc0109,"CAILHAVA D'ESTENDOUX, Jean-François","L'ÉGOÏSME, COMÉDIÉ EN CINQ ACTES ET EN VERS.",n.av.,1777,Comédie,moeurs françaises,Cinq actes,vers,CAILHAVA_EGOISME
tc0110,"CAILLEAU, André-Charles (1731-1798)","LES TRAGÉDIES DE M. DE VOLTAIRE, ou TANCRÈDE JUGÉE PAR SES SOEURS, COMÉDIE NOUVELLE",n.av.,1760,Tragédie,histoire orientale,Cinq actes,vers,CAILLEAU_TRAGEDIESVOLTAIRE
tc0111,"CAMPISTRON, Jean Galbert de","ACHILLE ET POLIXÈNE, TRAGÉDIE EN MUSIQUE",n.av.,1688,Tragédie en musique,mythe grec,"Cinq actes, un prologue",vers,CAMPISTRON_ACHILLE
tc0112,"CAMPISTRON, Jean G. de","ACIS ET GALATÉE, PASTORALE HÉROÏQUE",n.av.,1686,Pastorale héroïque,mythe grec,"Trois actes, un prologue",vers,CAMPISTRON_ACISGALATHEE
tc0113,"CAMPISTRON, Jean Galbert de","ADRIEN, TRAGÉDIE",n.av.,1683,Tragédie,histoire chrétienne,Cinq actes,vers,CAMPISTRON_ADRIEN
tc0114,"CAMPISTRON, Jean Galbert de","ALCIBIADE, TRAGÉDIE",n.av.,1685,Tragédie,histoire grecque,Cinq actes,vers,CAMPISTRON_ALCIBIADE
tc0115,"CAMPISTRON, Jean G. de","ANDRONIC, TRAGÉDIE",n.av.,1685,Tragédie,histoire romaine,Cinq actes,vers,CAMPISTRON_ANDRONIC
tc0116,"CAMPISTRON, Jean G. de","ARMINUS, TRAGÉDIE",n.av.,1685,Tragédie,histoire romaine,Cinq actes,vers,CAMPISTRON_ARMINIUSC
tc0117,"CAMPISTRON, Jean G. de","PHOCION, TRAGÉDIE",n.av.,1688,Tragédie,histoire grecque,Cinq actes,vers,CAMPISTRON_PHOCION
tc0118,"CAMPISTRON, Jean G. de","VIRGINIE, TRAGÉDIE",n.av.,1683,Tragédie,histoire romaine,Cinq actes,vers,CAMPISTRON_VIRGINIE
tc0119,"CARBON DE FLINS, Claude de","LE MARI DIRECTEUR ou LE DÉMÉNAGEMENT DU COUVENT, COMÉDIE EN UN ACTE et EN VERS LIBRES.",n.av.,1791,Comédie,moeurs françaises,Un acte,vers,CARBONDEFLINS_MARIDIRECTEUR
tc0120,"CARBON DE FLINS, Claude de","LE RÉVEIL D'ÉPIMÉNIDE À PARIS COMÉDIE EN UN ACTE, EN VERS.",n.av.,1790,Comédie,moeurs françaises,Un acte,vers,CARBONDEFLINS_REVEILEPIMENIDE
tc0121,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","L'ABBÉ DE PLÂTRE, COMÉDIE",n.av.,1781,Comédie,moeurs françaises,Un acte,prose,CARMONTELLE_ABBEDEPLATRE
tc0122,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","À BON CHAT BON RAT, COMÉDIE",n.av.,1771,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_ABONCHATBONRAT
tc0123,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","ALMÉNORADE, TRAGÉDIE",n.av.,1771,Proverbe,moeurs orientales,Un acte,vers,CARMONTELLE_ALMENORADE
tc0124,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","À TROMPEUR, TROMPEUR ET DEMI ou LA VEUVE AVARE, COMÉDIE",n.av.,1768,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_ATROMPEURTROMPEURETDEMI
tc0125,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","L'AUTEUR AVANTAGEUX, COMÉDIE",n.av.,1768,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_AUTEURAVANTAGEUX
tc0126,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","L'AVOCAT CONSULTANT, COMÉDIE",n.av.,1771,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_AVOCATCONSULTANT
tc0127,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","LES BONS, COMÉDIE",n.av.,1768,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_BONS
tc0128,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","LE BOUDOIR, COMÉDIE",n.av.,1768,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_BOUDOIR
tc0129,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","LE CAFÉ BORGNE, COMÉDIE",n.av.,1770,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_CAFEBORGNE
tc0130,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","LE CHANTEUR ITALIEN, COMÉDIE",n.av.,1771,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_CHANTEURITALIEN
tc0131,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","CONDAMNER SANS ENTENDRE ou LA STATUE, COMÉDIE",n.av.,1768,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_CONDAMNEZSANSENTENDRE
tc0132,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","LES DÉSESPÉRÉS DE L'OPÉRA, COMÉDIE",n.av.,1768,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_DESESPERESDELOPERA
tc0133,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","L'ÉCRIVAIN DES CHARNIERS, COMÉDIE",n.av.,1771,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_ECRIVAIN
tc0134,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","L'ÉTRANGER, COMÉDIE",n.av.,1768,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_ETRANGER
tc0135,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","LE FAUX EMPOISONNEMENT, COMÉDIE",n.av.,1768,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_FAUXEMPOISONNEMENT
tc0136,"CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle","LE LIÈVRE, COMÉDIE",n.av.,1768,Proverbe,moeurs françaises,Un acte,prose,CARMONTELLE_LIEVRE
